NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Study Type,Completion Date
NCT03114631,Dendritic Cell Immunotherapy for the Patients With Pancreatic Cancer,https://clinicaltrials.gov/study/NCT03114631,COMPLETED,Dendritic Cells|Pancreatic Neoplasms,BIOLOGICAL: Dendritic cells pulsed with tumor lysate|BIOLOGICAL: Dendritic cells pulsed with MUC-1/WT-1 peptides,The Republican Research and Practical Center for Epidemiology and Microbiology,Belarusian State Medical University,INTERVENTIONAL,2019-05-23
NCT02105675,Phase II Study of DCVAC/PCa Added to Standard Chemotherapy for Men With Metastatic Castration Resistant Prostate Cancer,https://clinicaltrials.gov/study/NCT02105675,COMPLETED,Prostate Cancer|Prostate Cancer Metastatic,BIOLOGICAL: Dendritic Cells DCVAC/PCa|DRUG: Docetaxel,SOTIO a.s.,,INTERVENTIONAL,2017-02-20
NCT00345293,Dendritic Cell Vaccine Study (DC/PC3) for Prostate Cancer,https://clinicaltrials.gov/study/NCT00345293,COMPLETED,Prostate Cancer,BIOLOGICAL: autologous dendritic cell vaccine (DC/PC3),Rockefeller University,Memorial Sloan Kettering Cancer Center,INTERVENTIONAL,2015-03
NCT00963521,Vaccine Therapy in Treating Patients With Acute Myeloid Leukemia in Complete Remission,https://clinicaltrials.gov/study/NCT00963521,COMPLETED,Leukemia,BIOLOGICAL: therapeutic autologous dendritic cells,Institut Paoli-Calmettes,,INTERVENTIONAL,
NCT00068510,Vaccine Therapy in Treating Patients With Malignant Glioma,https://clinicaltrials.gov/study/NCT00068510,COMPLETED,Brain and Central Nervous System Tumors,BIOLOGICAL: therapeutic autologous dendritic cells,Jonsson Comprehensive Cancer Center,National Institutes of Health (NIH),INTERVENTIONAL,2012-09
NCT00272649,Study Testing the Biologic Activity and Safety of an Immunotherapeutic in Patients With Newly Diagnosed Stage IV Kidney Cancer,https://clinicaltrials.gov/study/NCT00272649,COMPLETED,Renal Cell Carcinoma,BIOLOGICAL: AGS-003,Argos Therapeutics,,INTERVENTIONAL,2012-02
NCT00039325,Vaccine Therapy in Treating Patients With Stage IV or Recurrent Malignant Melanoma,https://clinicaltrials.gov/study/NCT00039325,COMPLETED,Melanoma (Skin),BIOLOGICAL: dendritic cell-MART-1 peptide vaccine,Jonsson Comprehensive Cancer Center,National Institutes of Health (NIH),INTERVENTIONAL,2009-06
NCT03164265,DCreg in Living Donor Liver Transplantation,https://clinicaltrials.gov/study/NCT03164265,COMPLETED,Living Donor Liver Transplantation,BIOLOGICAL: Regulatory Donor-Derived Dendritic Cell infusion,Angus W. Thomson PhD DSc,University of Pittsburgh,INTERVENTIONAL,2024-07-15
NCT00107185,Vaccine Therapy in Treating Young Patients Who Are Undergoing Surgery for Malignant Glioma,https://clinicaltrials.gov/study/NCT00107185,COMPLETED,Brain and Central Nervous System Tumors,BIOLOGICAL: therapeutic autologous dendritic cells,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL,2010-03
NCT00459069,The Use of Dendritic Cell/Tumor Fusions as a Novel Tumor Vaccine in Patients With Multiple Myeloma,https://clinicaltrials.gov/study/NCT00459069,COMPLETED,Multiple Myeloma,BIOLOGICAL: Dendritic Cell Tumor Fusion Vaccine,Beth Israel Deaconess Medical Center,Dana-Farber Cancer Institute|Brigham and Women's Hospital,INTERVENTIONAL,2009-11
NCT00798629,Adenovirus CCL-21 Transduced MART-1/gp100/Tyrosinase/NY-ESO-1 Peptide-Pulsed Dendritic Cells Matured,https://clinicaltrials.gov/study/NCT00798629,COMPLETED,Melanoma (Skin),BIOLOGICAL: Autologous dendritic cell-adenovirus CCL21 vaccine,H. Lee Moffitt Cancer Center and Research Institute,National Cancer Institute (NCI),INTERVENTIONAL,2012-04
NCT04212377,Dendritic Cells for Immunotherapy of Metastatic Endometrial Cancer Patients,https://clinicaltrials.gov/study/NCT04212377,COMPLETED,Endometrial Cancer,BIOLOGICAL: Dendritic Cells for endometrial cancer,Radboud University Medical Center,Stichting Katholieke Universiteit,INTERVENTIONAL,2021-03-09
NCT05378464,Adoptive T Cell Therapy Following HER2-Pulsed Dendritic Cell Vaccine & Pepinemab /Trastuzumab in Patients w/ Metastatic HER2+ Breast Cancer,https://clinicaltrials.gov/study/NCT05378464,RECRUITING,HER2-positive Breast Cancer,BIOLOGICAL: Dendritic Cell (DC1) Vaccine|DRUG: Trastuzumab|DRUG: Pepinemab|BIOLOGICAL: T-Cell therapy,H. Lee Moffitt Cancer Center and Research Institute,Vaccinex Inc.,INTERVENTIONAL,2026-12
NCT02423928,Phase I Clinical Trial of Cryoimmunotherapy Against Prostate Cancer,https://clinicaltrials.gov/study/NCT02423928,COMPLETED,Prostate Cancer,BIOLOGICAL: Dendritic cell based cryoimmunotherapy|DRUG: Cyclophosphamide|DRUG: ipilimumab,Alden Cancer Therapy II,Haukeland University Hospital|Norwegian Radium Hospital,INTERVENTIONAL,2019-08-16
NCT00056758,HIV Vaccine Designed for HIV Infected Adults Taking Anti-HIV Drugs,https://clinicaltrials.gov/study/NCT00056758,COMPLETED,HIV Infections,BIOLOGICAL: Autologous Dendritic Cell HIV Vaccination,National Institute of Allergy and Infectious Diseases (NIAID),,INTERVENTIONAL,
NCT01456104,Immune Responses to Autologous Langerhans-type Dendritic Cells Electroporated With mRNA Encoding a Tumor-associated Antigen in Patients With Malignancy: A Single-arm Phase I Trial in Melanoma,https://clinicaltrials.gov/study/NCT01456104,COMPLETED,Melanoma,BIOLOGICAL: Langerhans-type dendritic cells (a.k.a. Langerhans cells or LCs),Memorial Sloan Kettering Cancer Center,Rockefeller University,INTERVENTIONAL,2023-01-12
NCT04348747,Dendritic Cell Vaccines Against Her2/Her3 and Pembrolizumab for the Treatment of Brain Metastasis From Triple Negative Breast Cancer or HER2+ Breast Cancer,https://clinicaltrials.gov/study/NCT04348747,RECRUITING,Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Malignant Neoplasm in the Brain|Metastatic Triple-Negative Breast Carcinoma|Prognostic Stage IV Breast Cancer AJCC v8,BIOLOGICAL: Anti-HER2/HER3 Dendritic Cell Vaccine|BIOLOGICAL: Pembrolizumab,Roswell Park Cancer Institute,United States Department of Defense,INTERVENTIONAL,2026-12-15
NCT00197912,Dendritic Cell Based Therapy of Malignant Melanoma,https://clinicaltrials.gov/study/NCT00197912,COMPLETED,Advanced Melanoma,BIOLOGICAL: tumor antigen loaded autologous dendritic cells,Herlev Hospital,,INTERVENTIONAL,2010-04
NCT00186316,Vaccine Therapy for Multiple Myeloma Utilizing Idiotype-Pulsed Allogeneic Dendritic Cells,https://clinicaltrials.gov/study/NCT00186316,COMPLETED,Multiple Myeloma,BIOLOGICAL: Idiotype-pulsed allogeneic dendritic cells,Stanford University,National Cancer Institute (NCI),INTERVENTIONAL,2008-12
NCT00948480,Vaccine Biotherapy of Cancer: Autologous Tumor Cells and Dendritic Cells,https://clinicaltrials.gov/study/NCT00948480,COMPLETED,Metastatic Melanoma,BIOLOGICAL: Autologous tumor cells plus dendritic cells|DRUG: GM-CSF,Hoag Memorial Hospital Presbyterian,,INTERVENTIONAL,2007-09
NCT00601094,"Vaccine Therapy in Treating Patients With Stage IIIB, Stage IV, or Recurrent Non-Small Cell Lung Cancer",https://clinicaltrials.gov/study/NCT00601094,COMPLETED,Lung Cancer,BIOLOGICAL: autologous dendritic cell-adenovirus CCL21 vaccine,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL,2017-05-23
NCT01808820,Dendritic Cell (DC) Vaccine for Malignant Glioma and Glioblastoma,https://clinicaltrials.gov/study/NCT01808820,COMPLETED,Malignant Glioma|Glioblastoma Multiforme|Anaplastic Astrocytoma|High Grade Glioma,BIOLOGICAL: Dendritic Cell Vaccine|BIOLOGICAL: Tumor Lysate|DRUG: Imiquimod|PROCEDURE: Leukapheresis,"Macarena De La Fuente, MD",,INTERVENTIONAL,2022-07-16
NCT00988312,Dendritic Cells(DC)-Based Id Vaccination in Stage-I Myeloma,https://clinicaltrials.gov/study/NCT00988312,COMPLETED,Multiple Myeloma|Plasmocytoma,BIOLOGICAL: autologous idiotype-protein pulsed dendritic cells,University Hospital Carl Gustav Carus,,INTERVENTIONAL,2004-03
NCT03395587,Efficiency of Vaccination With Lysate-loaded Dendritic Cells in Patients With Newly Diagnosed Glioblastoma,https://clinicaltrials.gov/study/NCT03395587,RECRUITING,Glioblastoma,"BIOLOGICAL: Autologous, tumor lysate-loaded, mature dendritic cells (DC)|DRUG: standard therapy","Heinrich-Heine University, Duesseldorf",German Federal Ministry of Education and Research,INTERVENTIONAL,2027-03-06
NCT04184232,Treatment of Recurrent Bladder Cancer With Dendritic Cells,https://clinicaltrials.gov/study/NCT04184232,COMPLETED,Bladder Cancer,BIOLOGICAL: Dendritic cells|OTHER: Standard treatment according to the Clinical protocols,Institute of Biophysics and Cell Engineering of National Academy of Sciences of Belarus,Belarusian State Medical University,INTERVENTIONAL,2020-12-31
NCT00197860,Dendritic Cell Based Therapy of Renal Cell Carcinoma,https://clinicaltrials.gov/study/NCT00197860,COMPLETED,Advanced Renal Cell Carcinoma,BIOLOGICAL: tumor antigen loaded autologous dendritic cells,Inge Marie Svane,,INTERVENTIONAL,2010-10
NCT06253234,Safety and Efficacy Study for DC Vaccine in Recurrent or Progressive High-grade Gliomas,https://clinicaltrials.gov/study/NCT06253234,RECRUITING,WHO Grade III Gliomas|WHO Grade IV Gliomas,BIOLOGICAL: personalized dendritic cell injection ZSNeo-DC1.1,Beijing Tiantan Hospital,ZhongSheng BioTech Inc.,INTERVENTIONAL,2025-02-04
NCT01278940,Trial of Vaccine Therapy With mRNA- Transfected Dendritic Cells in Patients With Advanced Malignant Melanoma,https://clinicaltrials.gov/study/NCT01278940,COMPLETED,Malignant Melanoma,BIOLOGICAL: Dendritic Cells (DC) malignant melanoma|PROCEDURE: IL-2,Oslo University Hospital,,INTERVENTIONAL,2015-12
NCT02107430,Phase II Study of DCVAC/PCa After Primary Radiotherapy for Patients With High Risk Localized Prostate Cancer,https://clinicaltrials.gov/study/NCT02107430,COMPLETED,Prostate Cancer,BIOLOGICAL: Dendritic Cells DCVAC/PCa|RADIATION: Standard radiotherapy,SOTIO a.s.,,INTERVENTIONAL,2018-10
NCT00280982,Dendritic Cell-based Immunotherapy in Mesothelioma,https://clinicaltrials.gov/study/NCT00280982,COMPLETED,Malignant Pleural Mesothelioma,BIOLOGICAL: tumor lysate-loaded autologous dendritic cells,Erasmus Medical Center,,INTERVENTIONAL,2009-09
NCT00056134,Vaccine Therapy in Treating Patients With Stage III or Stage IV Melanoma,https://clinicaltrials.gov/study/NCT00056134,COMPLETED,Melanoma (Skin),BIOLOGICAL: Dendritic cell vaccine plus denileukin difitox,University Hospital Erlangen,,INTERVENTIONAL,2012-05
NCT00082641,"Neoadjuvant/Adjuvant Chemotherapy, Vaccine & Adjuvant Radiation Therapy in p53-Overexpressing Stage III Breast Cancer",https://clinicaltrials.gov/study/NCT00082641,COMPLETED,Breast Cancer,BIOLOGICAL: autologous dendritic cell-adenovirus p53 vaccine,University of Nebraska,National Cancer Institute (NCI)|H. Lee Moffitt Cancer Center and Research Institute,INTERVENTIONAL,2018-01-01
NCT00004211,Vaccine Therapy in Treating Patients With Metastatic Prostate Cancer,https://clinicaltrials.gov/study/NCT00004211,COMPLETED,Prostate Cancer,BIOLOGICAL: PSA RNA-pulsed dendritic cell vaccine,Duke University,National Cancer Institute (NCI),INTERVENTIONAL,2002-01
NCT01241162,Decitabine Followed by a Cancer Antigen Vaccine for Patients With Neuroblastoma and Sarcoma,https://clinicaltrials.gov/study/NCT01241162,COMPLETED,Neuroblastoma|Ewings Sarcoma|Osteogenic Sarcoma|Rhabdomyosarcoma|Synovial Sarcoma,BIOLOGICAL: Autologous dendritic cell vaccine with adjuvant,University of Louisville,Solving Kids' Cancer,INTERVENTIONAL,2016-10
NCT00004880,Vaccine Therapy in Treating Patients With Advanced Kidney Cancer,https://clinicaltrials.gov/study/NCT00004880,COMPLETED,Kidney Cancer,BIOLOGICAL: dendritic cell vaccine therapy|PROCEDURE: conventional surgery,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL,
NCT05964361,First-in-human Interleukin-15-transpresenting Wilms' Tumor Protein 1-targeting Autologous Dendritic Cell Vaccination in Cancer Patients,https://clinicaltrials.gov/study/NCT05964361,RECRUITING,Esophageal Cancer|Pancreas Cancer|Ovarian Cancer|Liver Cancer,BIOLOGICAL: IL15-transpresenting WT1-targeted Dendritic Cell Vaccine,"University Hospital, Antwerp",Kom Op Tegen Kanker|Stichting tegen Kanker,INTERVENTIONAL,2025-09-01
NCT03546361,CCL21-Gene Modified Dendritic Cell Vaccine and Pembrolizumab in Treating Patients With Stage IV Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT03546361,ACTIVE_NOT_RECRUITING,Lung Non-Small Cell Carcinoma|Stage IV Lung Cancer AJCC v8|Stage IVA Lung Cancer AJCC v8|Stage IVB Lung Cancer AJCC v8,BIOLOGICAL: Autologous Dendritic Cell-Adenovirus CCL21 Vaccine|BIOLOGICAL: Pembrolizumab,Jonsson Comprehensive Cancer Center,California Institute for Regenerative Medicine (CIRM)|Merck Sharp & Dohme LLC|LUNGevity Foundation|National Cancer Institute (NCI),INTERVENTIONAL,2025-01-11
NCT02283671,Treatment of Multiple Sclerosis and Neuromyelitis Optica With Regulatory Dendritic Cell: Clinical Trial Phase 1 B,https://clinicaltrials.gov/study/NCT02283671,COMPLETED,Multiple Sclerosis|Neuromyelitis Optica,BIOLOGICAL: Tolerogenic Dendritic cells loaded with myelin peptides,Sara Varea,,INTERVENTIONAL,2019-07-10
NCT00107159,Vaccine Therapy in Treating Patients With Unresected Stage III or Stage IV Melanoma,https://clinicaltrials.gov/study/NCT00107159,COMPLETED,Melanoma (Skin),BIOLOGICAL: autologous dendritic cell-allogeneic melanoma tumor cell lysate vaccine,Jonsson Comprehensive Cancer Center,National Cancer Institute (NCI),INTERVENTIONAL,2010-09
NCT00834002,Dendritic Cell Vaccination for Patients With Acute Myeloid Leukemia in Remission,https://clinicaltrials.gov/study/NCT00834002,COMPLETED,Acute Myeloid Leukemia (AML),BIOLOGICAL: injection of antigen-loaded cultured dendritic cells,"University Hospital, Antwerp",,INTERVENTIONAL,2008-12
NCT01946373,T Cell Transfer With or Without Dendritic Cell Vaccination in Patients With Melanoma,https://clinicaltrials.gov/study/NCT01946373,RECRUITING,Melanoma,DRUG: Cyclophosphamide|DRUG: Fludarabine|BIOLOGICAL: T cells|BIOLOGICAL: Interleukin-2|BIOLOGICAL: Dendritic cell vaccine,Karolinska University Hospital,,INTERVENTIONAL,2025-12
NCT01410968,"A Feasibility and Safety Study of Vaccination With Poly-ICLC and Peptide-pulsed Dendritic Cells in Patients With Metastatic, Locally Advanced, Unresectable, or Recurrent Pancreatic Adenocarcinoma",https://clinicaltrials.gov/study/NCT01410968,COMPLETED,Metastatic Pancreatic Cancer,DRUG: vacc. w/ Poly-ICLC & peptide-pulsed dendritic cells,Carolyn Britten,"Oncovir, Inc.",INTERVENTIONAL,2015-05
NCT00626483,Basiliximab in Treating Patients With Newly Diagnosed Glioblastoma Multiforme Undergoing Targeted Immunotherapy and Temozolomide-Caused Lymphopenia,https://clinicaltrials.gov/study/NCT00626483,COMPLETED,Malignant Neoplasms Brain,BIOLOGICAL: RNA-loaded dendritic cell vaccine|DRUG: basiliximab,Gary Archer Ph.D.,National Cancer Institute (NCI),INTERVENTIONAL,2016-07-06
NCT00852007,A Study Evaluating Vaccination of Prostate Cancer Patients With Self Dendritic Cells Expressing MUC1,https://clinicaltrials.gov/study/NCT00852007,COMPLETED,Prostate Cancer,BIOLOGICAL: DC-Tn-MUC1: autologous dendritic cells expressing Tn-MUC1,Hamilton Health Sciences Corporation,McMaster University,INTERVENTIONAL,2016-02
NCT00970203,Dendritic Cell (DC)-Based Vaccines Loaded With Allogeneic Prostate Cell Lines in Combination With Androgen Ablation in Patients With Prostate Cancer,https://clinicaltrials.gov/study/NCT00970203,COMPLETED,"Cancer of Prostate|Cancer of the Prostate|Neoplasms, Prostate|Neoplasms, Prostatic|Prostate Cancer|Prostate Neoplasms|Prostatic Cancer",BIOLOGICAL: androgen ablation (AA)|BIOLOGICAL: DC1 vaccine,Roswell Park Cancer Institute,University of Pittsburgh,INTERVENTIONAL,2019-10-05
NCT00005617,Vaccine Therapy in Treating Patients With Stage IV or Relapsed Malignant Melanoma,https://clinicaltrials.gov/study/NCT00005617,COMPLETED,Melanoma,BIOLOGICAL: dendritic cell-MART-1 peptide vaccine|PROCEDURE: leukapheresis,Jonsson Comprehensive Cancer Center,,INTERVENTIONAL,
NCT03387553,HER2 Directed Dendritic Cell Vaccine During Neoadjuvant Therapy of HER2+Breast Cancer,https://clinicaltrials.gov/study/NCT03387553,ACTIVE_NOT_RECRUITING,"Breast Cancer|Breast Cancer Female|Breast Cancer, Male|Invasive Breast Cancer|HER2-positive Breast Cancer|HER2 Positive Breast Carcinoma|Stage II Breast Cancer|Stage III Breast Cancer",BIOLOGICAL: Dendritic Cell Vaccine (DC1)|DRUG: Neoadjuvant Chemotherapy|PROCEDURE: Curative Surgery,H. Lee Moffitt Cancer Center and Research Institute,United States Department of Defense,INTERVENTIONAL,2026-08-29
NCT04487756,Combination of Atezolizumab With Dendritic Cell Vaccine in Patients With Lung Cancer,https://clinicaltrials.gov/study/NCT04487756,ACTIVE_NOT_RECRUITING,Extensive-stage Small Cell Lung Cancer,DRUG: Atezolizumab 1200 mg in 20 ML Injection|BIOLOGICAL: ADC Vaccine|DRUG: Carboplatin,Instituto Oncológico Dr Rosell,Roche Pharma AG|Fundacion Clinic per a la Recerca Biomédica,INTERVENTIONAL,2024-10
NCT00058734,Therapeutic Vaccination Followed by Treatment Interruption in HIV Infected Patients,https://clinicaltrials.gov/study/NCT00058734,COMPLETED,HIV Infections,BIOLOGICAL: Dendritic Cells Pulsed with HIV antigens,National Institute of Allergy and Infectious Diseases (NIAID),,INTERVENTIONAL,
NCT04078269,MIDRIXNEO-LUNG Dendritic Cell Vaccine in Patients With Non-small Cell Lung Cancer,https://clinicaltrials.gov/study/NCT04078269,ACTIVE_NOT_RECRUITING,Non-small Cell Lung Cancer,BIOLOGICAL: Dendritic cell immunotherapy|BIOLOGICAL: Antigen-specific DTH|BIOLOGICAL: Control DTH,"University Hospital, Ghent",University Ghent|Kom Op Tegen Kanker,INTERVENTIONAL,2025-12-31
NCT00005816,Vaccine Therapy in Treating Patients With Stage III or Stage IV Kidney Cancer,https://clinicaltrials.gov/study/NCT00005816,COMPLETED,Kidney Cancer,BIOLOGICAL: therapeutic autologous dendritic cells|PROCEDURE: conventional surgery,Duke University,National Cancer Institute (NCI),INTERVENTIONAL,2002-08
NCT00972309,A Pilot Study of Vaccination With Epitope-Enhanced TARP Peptide and TARP Peptide-Pulsed Dendritic Cells in the Treatment of Stage D0 Prostate Cancer,https://clinicaltrials.gov/study/NCT00972309,COMPLETED,Prostate Specific Antigens|Prostate Neoplasms,BIOLOGICAL: T-cell receptor alternate reading frame protein (TARP) peptide vaccine|BIOLOGICAL: T-cell receptor alternate reading frame protein (TARP) dendritic cell vaccine,National Cancer Institute (NCI),,INTERVENTIONAL,2015-02-04
NCT01525017,"A Clinical Study to Evaluate Safety and Immunologic Response of COMBIG-DC, in Patients With Metastatic Kidney Cancer",https://clinicaltrials.gov/study/NCT01525017,COMPLETED,Metastatic Renal Cell Carcinoma,BIOLOGICAL: Combig-DC (allogeneic dendritic cells) Cancer Vaccine,Mendus,,INTERVENTIONAL,2013-12
NCT00799110,Vaccination of Patients With Ovarian Cancer With Dendritic Cell/Tumor Fusions With Granulocyte Macrophage Colony-stimulating Factor (GM-CSF) and Imiquimod,https://clinicaltrials.gov/study/NCT00799110,ACTIVE_NOT_RECRUITING,Ovarian Cancer|Primary Peritoneal Cancer|Fallopian Tube Cancer,DRUG: GM-CSF|BIOLOGICAL: Dendritic Cell/Tumor Fusion Vaccine|DRUG: imiquimod,Beth Israel Deaconess Medical Center,Dana-Farber Cancer Institute|Brigham and Women's Hospital|Massachusetts General Hospital|National Cancer Institute (NCI),INTERVENTIONAL,2024-12
